title,content,tokens
Mac runs slowly,"If you find your Mac is running slowly, there are a number of potential causes that you can check. Your computer’s startup disk may not have enough free disk space. To make disk space available, you can move files to another disk or an external storage device, then delete files you no longer need on the startup disk. macOS can also help you optimize storage by storing files in the cloud and helping you identify files you no longer need. Choose Apple menu > System Settings, then click General in the sidebar (you may need to scroll down). Click Storage on the right, then click the storage recommendations you want to use. An app you’re using may require more memory than your Mac has easily available. You can use Activity Monitor to see how much memory your Mac and apps are using. See View memory usage in Activity Monitor. Also see the documentation that came with the app to find out its system requirements. Quit any app that isn’t compatible with your Mac. For example, an app may require a different processor or graphics card. See the documentation that came with the app for information about its system requirements. To see what processor your computer has, choose Apple menu > System Settings, click General in the sidebar, then click About on the right. To see which graphics card your computer has, choose Apple menu > System Settings, then click General in the sidebar. Click About on the right, then click System Report. Click Graphics/Displays to see the name of the graphics card installed your computer. Quit any apps you’re not using. If you have problems with your disk, use Disk Utility to verify and try and fix any issues. ",1651
How to Erase your Mac and reset it to factory settings,"Erase your Mac and reset it to factory settingsUse Erase All Content and Settings to quickly and securely erase all of your settings, data, and apps, while maintaining the operating system currently installed. Use Erase All Content and SettingsThis feature requires macOS Monterey or later and a Mac with Apple silicon or the Apple T2 Security Chip. Learn what to do if you can't use Erase All Content and Settings. macOS VenturaFrom the Apple menu in the corner of your screen, choose System Settings. Click General in the sidebar. Click Transfer or Reset on the right. Click Erase All Content and Settings. Don't see this button?macOS MontereyFrom the Apple menu in the corner of your screen, choose System Preferences. From the System Preferences menu in the menu bar, choose Erase All Content and Settings. Don't see this option? After choosing Erase All Content and Settings, follow these steps to continue:An erase assistant asks you to sign in with your administrator credentials. Enter the password that you use to log in to your Mac, then click OK. Forgot your login password?If you're asked to back up your Mac before resetting it, you can open Time Machine and back up to an external storage device. Or click Continue to proceed without making a new backup. Click Continue to allow your settings, media, data, and the other listed items to be removed. If you're asked to sign out of Apple ID, enter your Apple ID password and click Continue. Forgot your Apple ID password?Click Erase All Content & Settings to confirm that you want to proceed. Your Mac restarts and shows a black screen or progress bar. If it needs to reconnect to a Bluetooth accessory such as a keyboard or mouse, you might be asked to turn on the accessory. If the accessory doesn't connect within 30 seconds, turn the accessory off and back on. When reconnecting to a Bluetooth keyboard, you're asked to choose a language. You might be asked to select a Wi-Fi network or attach a network cable. To select a Wi-Fi network, use the Wi-Fi menu in the upper-right corner of the screen. After joining a network, your Mac activates. Click Restart. After restart, a setup assistant guides you through the setup process, as if you're setting up your Mac for the first time. If you're selling, giving away, or trading-in your Mac and want to leave it in an out-of-box state, don't use the setup assistant or your previously connected Bluetooth devices, if any. Just press and hold the power button on your Mac until it turns off. If you can't use Erase All Content and SettingsErase All Content and Settings is available only in macOS Monterey or later, and only on a Mac with Apple silicon or a Mac with the Apple T2 Security Chip. If this feature isn't available or doesn't work on your Mac:To reset your Mac to factory settings, which includes erasing your Mac, follow the steps in what to do before you sell, give away, or trade in your Mac. To only erase your Mac, learn how to erase a Mac with Apple silicon or erase an Intel-based Mac. When using Erase All Content and Settings, if you see a message explaining that other volumes need to be erased before you can erase all content and settings, you might have used Boot Camp to install Microsoft Windows. In that case, use Boot Camp to remove Windows and its partition. ",3300
Connect your Mac to shared computers and servers,"You can connect to shared computers and file servers on your network, including Mac and Windows computers that have file sharing turned on, and servers that use protocols such as SMB. You can connect by either browsing or entering the computer’s or server’s network address. See Find your computer’s name and network address. Connect to a computer or server by browsingOn your Mac, click the Finder icon in the Dock to open a Finder window, then click Network in the Locations section of the sidebar. If no items appear in the Locations section of the sidebar, hold the pointer over the word Locations, then click the arrow . In the Finder window, double-click the computer you want to connect to, then click Connect As. If you’re connecting to a Mac that has screen sharing turned on, and you have the appropriate privileges, you can also click Share Screen. Select how you want to connect to the Mac:Guest: You can connect as a Guest user if the shared computer permits guest access. Registered User: Connect to the other Mac using a valid login name and password. If “Only these users” is selected on the other Mac, make sure the login name you’re using is on the list of allowed users. Using an Apple ID: Connect to the other Mac using an Apple ID. You must be set up in Users & Groups settings with this Apple ID, on both this Mac and the other Mac. If necessary, enter your user name and password, then select volumes or shared folders on the server. In some cases you need the network area or workgroup for the shared computer. If you don’t have this information, contact the computer’s owner or your network administrator. Tip: To make it easier to connect to the computer in the future, select “Remember this password in my keychain” to add your user name and password for the computer to your Keychain. Connect to a computer or server by entering its addressIn the Finder on your Mac, choose Go > Connect to Server. Type the network address for the computer or server in the Server Address field. For information about the correct format for network addresses, see Network address formats and protocols. Click Connect. Select how you want to connect to the Mac:Guest: You can connect as a Guest user if the shared computer permits guest access. Registered User: Connect to the other Mac using a valid login name and password. If “Only these users” is selected on the other Mac, make sure the login name you’re using is on the list of allowed users. Using an Apple ID: Connect to the other Mac using an Apple ID. You must be set up in Users & Groups settings with this Apple ID, on both this Mac and the other Mac. If necessary, enter your user name and password, then select the server volumes or shared folders. To make it easier to connect to the computer in the future, select “Remember this password in my keychain” to add your user name and password for the computer to your keychain. Reconnect to recent serversHere are some ways to make it easy to reconnect to shared computers and servers you frequently use:On your Mac, do any of the following:Choose Apple menu > Recent Items, then choose from the list of recent servers. In the Finder ,choose Go > Connect to Server, click the pop-up menu to the far right of the Server Address field, then choose a recent server. Add shared computers, network areas, and workgroups to the Finder sidebar. Select the item, then choose File > Add To Sidebar. Add a shared computer or server to your list of favorites. In the Finder, choose Go > Connect to Server, enter the network address, then click the Add button . ",3572
How to view disk activity in Activity Monitor on Mac,"View the disk activity on your Mac in the Activity Monitor window or in the Dock. In the Activity Monitor app on your Mac, do any of the following:To see disk activity, click Disk in the Activity Monitor window (or use the Touch Bar). Activity Monitor tracks the number of times your Mac accesses the disk to read and write data, and shows the amount of data that’s read or written to your disk. To see a graph of disk activity in the Dock, choose View > Dock Icon > Show Disk Activity. To display more columns, choose View > Columns, then choose the columns you want to show",575
IT KB Page (For demo),"Welcome to your new knowledge base spaceA knowledge base is a shared resource that your whole team can use and contribute to. Use it to build a wiki, create content to deflect help-desk requests, or for anything else where you want to quickly create lots of pages without worrying about organization and structure. To start, you might want to:Customise this overview using the edit icon at the top right of this page. Create a new page by clicking the + in the space sidebar. Tip: Make it easier for your team to find what they're looking for by adding labels to your pages so they appear when you
Browse by topic belowSearch this space
Search
Frequently used articlesAdd links to popular how-to and troubleshooting articles. Highlight important documentation. 
Need more help?Link to resources such as your service desk, questions and answers or a forum. List contacts for getting additional help. 
Browse by topic
Label list
As you and your team label content this area will fill up and display the latest updates. 
NEED INSPIRATION?Check out this guide on how to use Confluence as a Knowledge baseFollow Twitter's 5 tips for a successful knowledge base",1155
How to fix Mac blank screen error,"If your Mac starts up to a blank screenA blank screen (black, gray, or blue) should appear once or more during startup. If your Mac appears to be stuck on a blank screen, follow these steps. Try to start up from macOS RecoveryIf your Mac seems to be turned on but the screen remains blank, follow the appropriate steps depending on whether you're using a Mac with Apple silicon. If you're not sure, you can try it both ways. Apple siliconPress and hold the power button for about 10 seconds, until you see the startup options window, which includes a gear icon labeled Options. Select Options, then click Continue. If you never see the startup options window, release the power button, then repeat step 1. Intel processorPress and hold the power button for about 10 seconds. Press and release the power button, then immediately press and hold Command (⌘)-R until you see an Apple logo or other image. If you can start up from macOS RecoveryIf you started up from macOS Recovery, you should see a utilities window that includes Disk Utility. Select Disk Utility, then click Continue and follow the steps in this article:Use Disk Utility to repair your startup diskIf Disk Utility found no errors, reinstall macOS. If Disk Utility found errors and repaired them, restart your Mac. If the issue returns after restarting, reinstall macOS. If you can't start up from macOS RecoveryIf you can't start up from macOS Recovery, your Mac might not be turning on at all:If your Mac doesn't turn onIf you're using an external display instead of a built-in display, make sure that the issue isn't with your external display:If your external display is dark or low resolution",1661
Mac isn't connecting to the internet over Wi-Fi,"If your Mac isn't connecting to the internet over Wi-FiIf your Mac is connected to a Wi-Fi network but can't connect to websites, email, and all other internet services, try these solutions. To connect to the internet over Wi-Fi, your Mac must first be connected to a Wi-Fi network, and that network must provide a connection to the internet. To connect to a Wi-Fi network, click Wi-Fi in Control Center or the menu bar, then choose a network from the menu. If websites, email, and all other internet services remain unavailable after connecting to Wi-Fi, try the following solutions. Restart your MacRestarting might help because your Mac then automatically renews the internet address it was assigned when joining the Wi-Fi network. Or you can renew the IP address manually. This is known as renewing the DHCP lease. If the lease expired and the address is already in use by another device, your Mac is assigned a new address. Update your MacUpdate the software on your Mac, and make sure that the date and time are set correctly. Check VPN or other security softwareIf you installed VPN or other software that monitors or interacts with your network connections, that software could be affecting access to the internet. Learn about network issues related to VPN and other software. Use the built-in diagnostic toolsWi-Fi Recommendations. Click Wi-Fi in Control Center or the menu bar and check for a menu item named Wi-Fi Recommendations. If you see it, your Mac has detected an issue and has recommendations. Choose Wi-Fi Recommendations to learn more. *Wireless Diagnostics. Press and hold the Option key on your keyboard while clicking Wi-Fi in Control Center or the menu bar, then choose Open Wireless Diagnostics from the menu. Learn more about using Wireless Diagnostics to analyze your wireless environment. Update the Wi-Fi routerIf you manage the network's Wi-Fi router, install the latest firmware updates for the router, as recommended by its manufacturer. It might also help to simply restart the router and use Apple's recommended settings for Wi-Fi routers and access points. Try a different network or contact your ISPIf you can access the internet when connected to a different network, or you're not sure, check with your network administrator or Internet Service Provider (ISP) to make sure that your network is working properly. Wi-Fi Recommendations isn't available for personal hotspots or networks that use certain enterprise security protocols, such as WPA Enterprise or WPA2 Enterprise. ",2514
How to add a printer to printer list,"Add a printer to your printer list so you can use it on MacTo use a printer, you must add it to your list of printers using Printers & Scanners settings. (If you switched from using a Windows computer to a Mac, using Printers & Scanners settings is similar to using the Printing control panel in Windows. )In most cases, when you add a printer, macOS uses AirPrint to connect to the printer or automatically downloads the printer’s software (also called a printer driver). Don’t install the software that came with the printer or from the manufacturer’s website; follow the instructions in one of the tasks below, and macOS prompts you to download the latest software if it’s needed. For information about using a printer with an iPhone or iPad, see Apple Support article Use AirPrint to print from your iPhone or iPad. Add a USB printerFor most USB printers, all you have to do is update your software and then connect the printer to your Mac. macOS automatically detects the printer and downloads any necessary software. For other printers, you may have to complete a few steps to add the printer. On your Mac, update your printer software: Check with your printer’s manufacturer to see if any updates are available for your printer model. Prepare your printer: Use the instructions that came with your printer to unpack the printer, install ink or toner, and add paper. Turn on the printer and make sure it’s not displaying any errors. Connect your printer: Connect the USB cable to your Mac. If you see a message prompting you to download new software, make sure to download and install it. Important: If your Mac has a single USB-C port, use a multiport adapter. Connect the printer, then connect a USB-C cable to a power supply to prolong the battery life of your Mac. See Use USB-C cables with your Mac. Add a Wi-Fi or network printerIf your Mac and printer are already connected to the same Wi-Fi network, the printer might be available to you without any setup. To check, choose File > Print, click the Printer pop-up menu, choose Nearby Printers or Printers & Scanners settings, then choose your printer. If you don’t see your printer, you can add it. On your Mac, update your printer software: Check with your printer’s manufacturer to see if any updates are available for your printer model. If you have an AirPrint printer, you don’t need to check for software updates. Prepare your printer: Use the instructions that came with your printer to unpack the printer, install ink or toner, and add paper. Turn on the printer and make sure it’s not displaying any errors. Connect your printer: Follow the instructions that came with the printer to connect it to the network. If you have a Wi-Fi printer, you might need to connect the printer to your Mac with a USB cable to set up Wi-Fi printing. After connecting the printer to your Mac, install the Mac software that came with the printer and use the printer’s setup assistant to connect the printer to your Wi-Fi network. After setting up, you can disconnect the cable from your printer and Mac and the printer should remain connected to the Wi-Fi network. See the Apple Support article Connect an AirPrint printer to a Wi-Fi network. Add the printer to your list of available printers: Choose Apple menu > System Settings, then click Printers & Scanners in the sidebar. (You may need to scroll down. )If you don’t see your printer listed on the left, click the Add Printer, Scanner or Fax button on the right. A dialogue appears listing printers on your local network. When your printer appears in the list, select your printer, then click Add. It may take a minute or two for your printer to appear. If you see a message prompting you to download new software, make sure to download and install it. When you add a printer, macOS can usually detect whether the printer has special accessories installed, such as additional paper trays, extra memory or a duplex unit. If it can’t, a dialogue appears that lets you specify them. Make sure the settings in that dialogue accurately reflect your printer’s installed accessories so you can take full advantage of them. Add a network printer by specifying its IP addressIf a network printer you want to use isn’t in the list of available printers, you can add it as an IP printer. The printer must support one of these printing protocols: AirPrint, HP Jetdirect (Socket), Line Printer Daemon (LPD), or Internet Printing Protocol (IPP). Note: Some printers connected using these generic protocols may offer limited functionality. You must know the network printer’s IP address or host name, printing protocol, and model number or printer software name. If it uses a special queue, you also need to know the queue name. See the person who manages the printer or server for assistance. On your Mac, update your printer software: Check with your printer’s manufacturer to see if any updates are available for your printer model. If you have an AirPrint printer, you don’t need to check for software updates. Prepare your printer: Use the instructions that came with your printer to unpack the printer, install ink or toner, and add paper. Turn on the printer and make sure it’s not displaying any errors. Connect your printer: Follow the instructions that came with the printer to connect it to the network. See the Apple Support article Connect an AirPrint printer to a Wi-Fi network. Add the printer to your list of available printers: Choose Apple menu > System Settings, then click Printers & Scanners in the sidebar. (You may need to scroll down. )Click the Add Printer, Scanner or Fax button on the right, click the IP button ,then enter the printer information, using the following table as a guide. OptionDescriptionAddressEnter the printer’s IP address (a number that looks like 192. 168. 20. 11) or host name (for example, printer. example. com). ProtocolChoose a printing protocol that your printer supports:AirPrint: Use the AirPrint protocol to enable Wi-Fi, USB and Ethernet network access to a printer’s printing and scanning options (if the specific printer supports these features). You don’t need to download or install printer software to use AirPrint-enabled printers. A wide variety of printers, including Aurora, Brother, Canon, Dell, Epson, Fuji, Hewlett Packard, Samsung, Xerox and many others, support the AirPrint protocol. HP Jetdirect – Socket: Use this protocol to access Hewlett Packard and many other printer manufacturers. Line Printer Daemon - LPD: Allows access to some older printers and print servers that use this protocol. Internet Printing Protocol - IPP: Allows access to modern printers and print servers. QueueEnter the queue name for your printer. If you don’t know the queue name, try leaving it blank or see your network administrator. NameRecords a descriptive name for the printer (for example, Colour Laser Printer), so you can identify it in the Printer pop-up menu. LocationRecords the printer’s location (for example, “outside my office”), so you can identify it in the Printer pop-up menu. UseDisplay the appropriate software for the printer. If you don’t see software for your printer, choose Select Software, then select your printer in the Printer Software list. If Printer Software list doesn’t include your printer, try downloading and installing the printer software (also called a printer driver) from the printer manufacturer. You can also try choosing generic postscript or PCL printer software from the pop-up menu depending on your type of printer. Add a Bluetooth printerIf your Mac came with Bluetooth installed, or if you are using a USB Bluetooth adapter, you can print wirelessly to a Bluetooth-enabled printer. On your Mac, update your printer software: Check with your printer’s manufacturer to see if any updates are available for your printer model. If you have an AirPrint printer, you don’t need to check for software updates. Prepare your printer: Use the instructions that came with your printer to unpack the printer, install ink or toner, and add paper. Turn on the printer and make sure it’s not displaying any errors. Connect your printer: Follow the instructions that came with your printer to make sure it’s ready to connect with Bluetooth. Add your Bluetooth printer to your printer list: Choose Apple menu > System Settings, then click Printers & Scanners in the sidebar. (You may need to scroll down. )Click the Add Printer, Scanner or Fax button on the right, then click the Default button . Select the printer in the Printers list, then click Add. If the printer you expect to see is not in the list, enter its name in the search field and press Return. If your printer doesn’t appear in the list, make sure you have the latest Bluetooth driver for the printer installed. Check with the manufacturer for the latest driver. After you connect your printer, if you see a message prompting you to download new software, make sure you download and install it. Add a Wi-Fi or mobile printer that requires a configuration profileSome network printers may require you to install a configuration profile so that the printer can be discovered on your network using AirPrint. If you are provided a profile to install, download or copy the printer profile to your Mac and then install it. On your Mac, double-click the profile to open it. When you see a message asking if you want to install the profile, click Continue. When a message appears asking you to confirm that you want to install the profile, click Install. The profile is installed in the Profiles settings of the General settings. You can then add the printer to your printer list. To add your printer to the printer list, choose Apple menu > System Settings, then click Printers & Scanners in the sidebar. (You may need to scroll down. )Click the Add Printer, Scanner or Fax button on the right, then click the Default button . Select the printer (listed as an AirPrint Profile) in the Printers list, then click Add. If your printer doesn’t appear in the list, make sure you have the latest profile for the printer installed and that there is a network path for your computer to the printer. Check with your network administrator for the latest profile. ",10194
How to use technology at the Astrobot Office,"Astrobot Office1000 To The Moon Lane,Floor 999Mars, Galaxy 99966How to Print at the OfficeTo use the astrobot printer, first make sure you are connected to the office wifi network. Once connected to the network, you will see astrobot printer listed in the printer options. After printing, you may collect your prints by visiting the moon. Connect to Office WifiTo connect to the astrobot wifi, you must be physically present on the moon. Select the wifi logo on your spaceship and enter your launch credentials which are the same credentials used to connect to mars. Use the ProjectorEach astrobot conference room will contain a projector. Connect the projector cable to your laptop and share share your screen. ",712
How to subscribe to APAC calendar,"Ask to view a calendarOn your computer, open Google Calendar. On the left, next to “Other calendars,” click Add Subscribe to calendar. If the APAC calendar has been shared with you, you’ll get an email. In the “Add calendar” box, enter the apac@g. com email address, or select one from the list. Press Enter. Depending on whether their calendar is shared, one of the following happens:If the calendar isn't shared with you, we'll prompt you to request access. If the calendar is already shared with you, their calendar will be added on the left side under ""Other calendars. ""If the other person doesn't have a Google Calendar, we'll prompt you to invite them to use Google Calendar. ",683
